expiry,T,strike,option_type,mid_price,bid,ask,volume,open_interest,yahoo_iv,moneyness,iv,delta,gamma,vega,theta,rho
2026-09-25,0.03561643835616438,780.0,call,0.94,0.93,0.95,6424.0,4374,0.09351492431640626,1.020555054265142,0.09216848855289118,0.13986867635712985,0.016731576333606273,32.08382525291326,-45.659606868773686,3.7739261206067423
2026-09-25,0.03561643835616438,781.0,call,0.8,0.79,0.81,525.0,861,0.09296561340332031,1.0218634581808665,0.09176248631599232,0.12307476836041353,0.015384832279435651,29.371407304915603,-41.48582052749564,3.321760426144834
2026-09-25,0.03561643835616438,782.0,call,0.6799999999999999,0.67,0.69,472.0,626,0.09259940612792968,1.023171862096591,0.09147433376255333,0.10793548541890552,0.014058614194192359,26.755223636920288,-37.559341047205535,2.9139234236095946
2026-09-25,0.03561643835616438,783.0,call,0.5700000000000001,0.56,0.58,784.0,605,0.09198906066894531,1.0244802660123156,0.0909836523040573,0.09362201064546466,0.012741111395705145,24.11778929993475,-33.582559143901975,2.5282102449967048
2026-09-25,0.03561643835616438,784.0,call,0.485,0.48,0.49,433.0,893,0.09168388793945312,1.02578866992804,0.09097395279850429,0.081770930790323,0.011518356038084402,21.800897913201442,-30.269193308609033,2.2086359915031974
2026-09-25,0.03561643835616438,785.0,call,0.405,0.4,0.41,23150.0,3952,0.0913176806640625,1.0270970738437648,0.09065701043632557,0.07041695326510279,0.010315045303624865,19.45536354953668,-26.85063738839373,1.9024155675701864
2026-09-25,0.03561643835616438,786.0,call,0.345,0.34,0.35,4947.0,542,0.09137871520996094,1.0284054777594893,0.0908484068436668,0.061317599526301364,0.009246426298119614,17.476644233387173,-24.109525638110252,1.6568563538976355
2026-09-25,0.03561643835616438,787.0,call,0.295,0.29,0.3,681.0,1075,0.09156181884765624,1.0297138816752138,0.0911675160040377,0.05345472052602084,0.008270864989647714,15.687649264400532,-21.66497326550143,1.444599426698173
2026-09-25,0.03561643835616438,788.0,call,0.255,0.25,0.26,290.0,829,0.09205009521484375,1.0310222855909383,0.0917236238349484,0.04689661140085286,0.007406081603443526,14.13307016454902,-19.591112076376422,1.267503923846533
2026-09-25,0.03561643835616438,789.0,call,0.215,0.21,0.22,784.0,479,0.09217216430664063,1.0323306895066628,0.09186942848510872,0.04038983461656017,0.0065545406970406485,12.527952453498859,-17.356880775564417,1.091805699878162
2026-09-25,0.03561643835616438,790.0,call,0.185,0.18,0.19,10997.0,1202,0.09266044067382811,1.0336390934223874,0.09240154397697978,0.03525201930041784,0.0058318359669026505,11.211180520688098,-15.58990021388528,0.9530162016498273
2026-09-25,0.03561643835616438,791.0,call,0.165,0.16,0.17,166.0,1261,0.0937590625,1.0349474973381119,0.09352500384011515,0.031556617659174085,0.005259614777187196,10.234072494949531,-14.374093356570777,0.8531350460956464
2026-09-25,0.03561643835616438,792.0,call,0.14500000000000002,0.14,0.15,374.0,958,0.09449147705078126,1.0362559012538366,0.09439770731822555,0.02794020119575472,0.004710399374791165,9.250942778809332,-13.089260728639264,0.7554038496457336
2026-09-25,0.03561643835616438,793.0,call,0.125,0.12,0.13,249.0,1036,0.09510182250976565,1.037564305169561,0.09497207234656432,0.024379260520648555,0.004177412992606776,8.254107966389098,-11.729097906046412,0.659182784817442
2026-09-25,0.03561643835616438,794.0,call,0.10500000000000001,0.1,0.11,30.0,729,0.09522389160156251,1.0388727090852856,0.0951786360718927,0.02084802440442266,0.00365316307923903,7.233947528006577,-10.285109349195636,0.5637703285001745
2026-09-25,0.03561643835616438,795.0,call,0.095,0.09,0.1,1977.0,1084,0.09668872070312501,1.0401811130010101,0.09646942568791778,0.018846228613928838,0.0033083487814239768,6.63999571557627,-9.552339378264914,0.5096350486288339
2026-09-25,0.03561643835616438,796.0,call,0.08499999999999999,0.08,0.09,480.0,951,0.0976652734375,1.0414895169167346,0.0975796145898142,0.016894001526914046,0.00297942524586623,6.048649361606831,-8.787766426627579,0.4568490668828162
2026-09-25,0.03561643835616438,797.0,call,0.08499999999999999,0.08,0.09,255.0,673,0.1001066552734375,1.0427979208324591,0.10023706138274469,0.01649550452829194,0.0028418007624710613,5.92637010641987,-8.82943426493477,0.4460014994489654
2026-09-25,0.03561643835616438,798.0,call,0.07500000000000001,0.07,0.08,2004.0,541,0.1010832080078125,1.0441063247481837,0.10108940815245832,0.014636853954871985,0.0025430675703515745,5.348479937479299,-8.025045355879563,0.39576276777019415
2026-09-30,0.049315068493150684,725.0,call,40.765,39.11,42.42,33.0,1930,0.22772989074707028,0.9485928389002922,0.10963353427250826,0.98806259864874,0.0016709495016679337,5.277189749048455,-33.8204500331857,35.23075110191195
2026-09-30,0.049315068493150684,730.0,call,36.004999999999995,34.32,37.69,427.0,5865,0.21393608337402342,0.955134858478915,0.12150027687017838,0.9629724690349905,0.003923897214579898,13.733804485639059,-44.30879095676272,34.51981856037014
2026-09-30,0.049315068493150684,732.0,call,34.165,32.51,35.82,1.0,989,0.2085650433349609,0.957751666310364,0.12550793916470593,0.9486546139472288,0.004945084056870321,17.87890212716268,-49.78532237087646,34.07090380853247
2026-09-30,0.049315068493150684,735.0,call,31.39,29.73,33.05,304.0,1164,0.20081365600585935,0.9616768780575377,0.12684054666610448,0.9292046190156176,0.006291277939939288,22.987563795870567,-56.123640570423106,33.474663017263005
2026-09-30,0.049315068493150684,736.0,call,30.47,28.81,32.13,2.0,772,0.19818917053222657,0.9629852819732622,0.12684225791987386,0.9224295200658731,0.006746089141105167,24.6497211179182,-58.09501863072127,33.264672770467925
2026-09-30,0.049315068493150684,740.0,call,26.765,25.24,28.29,21.0,2428,0.18384605224609374,0.9682188976361604,0.12355646815365867,0.8963696270445369,0.008588811716504108,30.569936603922287,-64.05584720439819,32.46516121554343
2026-09-30,0.049315068493150684,742.0,call,24.85,23.47,26.23,403.0,1438,0.17371431762695314,0.9708357054676094,0.11894562761752496,0.8862444139410715,0.009540483909500332,32.689995131325155,-64.95560259014039,32.17796990856676
2026-09-30,0.049315068493150684,745.0,call,22.28,22.01,22.55,49.0,4679,0.14713377288818358,0.9747609172147831,0.11945605711438245,0.8530596816424223,0.011342537171066766,39.03142051499792,-71.91332689317316,31.05394349579466
2026-09-30,0.049315068493150684,746.0,call,21.39,20.02,22.76,1.0,787,0.165047412109375,0.9760693211305076,0.11821312933628764,0.8435865812876062,0.011947796067317403,40.68642071439006,-73.15657373000354,30.740783396735292
2026-09-30,0.049315068493150684,747.0,call,20.545,19.17,21.92,1.0,1210,0.16309430664062502,0.9773777250462322,0.11784386948006723,0.8317742183110801,0.012566997394862422,42.661339718917816,-75.0436897425171,30.33723466360435
2026-09-30,0.049315068493150684,750.0,call,18.119999999999997,18.0,18.24,295.0,5111,0.13666634826660157,0.9813029367934057,0.11750888182615785,0.7911084751033624,0.014405385457831198,48.76312699904588,-81.04723523377389,28.924090514627867
2026-09-30,0.049315068493150684,755.0,call,14.21,14.09,14.33,41.0,3271,0.12906754730224607,0.9878449563720285,0.11407424654400646,0.7162041653813827,0.017499523158607238,57.50555430777045,-87.37336816444312,26.293693267184022
2026-09-30,0.049315068493150684,756.0,call,13.399999999999999,13.18,13.62,58.0,1057,0.1280909945678711,0.989153360287753,0.11216283520736857,0.7011719415939297,0.01823172279057754,58.90778021815056,-87.43568617933843,25.767058590272473
2026-09-30,0.049315068493150684,759.0,call,11.275,11.14,11.41,67.0,1040,0.12265891998291016,0.9930785720349267,0.10998768430357782,0.6463847090177455,0.019915328341048023,63.09972981669226,-89.25586926834109,23.8068668437456
