expiry,T,strike,option_type,mid_price,open_interest,underlying_spot,moneyness,iv,delta,gamma,vega,theta,rho
2026-09-22,0.0273972602739726,23600.0,call,114.75,1547000,23398.1,1.0086289057658528,0.12012955173436607,0.36442986967275814,0.0008073361385227634,1454.6970919388482,-3650.750409502394,230.4716861104849
2026-09-22,0.0273972602739726,23850.0,call,42.4,523900,23398.1,1.019313534004898,0.11438917125664524,0.17840405401546489,0.0005889359163956254,1010.4650001411522,-2336.2804999787854,113.20317148746804
2026-09-22,0.0273972602739726,24500.0,call,5.5,2427620,23398.1,1.047093567426415,0.13876699003026846,0.027018681969319024,0.00011604285136032973,241.53100075515627,-646.0893924655652,17.169474676389015
2026-09-22,0.0273972602739726,24950.0,call,2.45,212810,23398.1,1.066325898256696,0.1650843427545837,0.011259663751600318,4.6222988718715514e-05,114.45433042987499,-359.157537562992,7.15081475611114
2026-09-22,0.0273972602739726,25100.0,call,2.1,886600,23398.1,1.072736675200123,0.17525799545145362,0.00928510295853338,3.6800396547387056e-05,96.73834642371385,-321.2260357272529,5.894623830586078
2026-09-29,0.04657534246575343,23300.0,call,343.3,883285,23398.1,0.9958073518789988,0.12798085803779838,0.6017758637041088,0.0005967253140808833,1947.3172979514663,-3427.551031857097,639.8106742955024
2026-09-29,0.04657534246575343,23600.0,call,173.35,1265745,23398.1,1.0086289057658528,0.11754910153385315,0.4107903620479096,0.000654990184435481,1963.23075204874,-2994.8249019809737,439.59505584176856
2026-09-29,0.04657534246575343,24050.0,call,47.2,246610,23398.1,1.027861236596134,0.11386678687067539,0.15816213960626624,0.000419904713329009,1219.172218337993,-1690.7782765412303,170.16271369348223
2026-09-29,0.04657534246575343,24450.0,call,17.2,293085,23398.1,1.044956641778606,0.12466247864023744,0.0634909619672705,0.00019775656102807965,628.6137859663221,-921.8547516321512,68.38973468195239
2026-09-29,0.04657534246575343,26300.0,call,1.85,132600,23398.1,1.1240228907475394,0.20713384025062215,0.005607843968084679,1.530887388685981e-05,80.85586821704295,-186.8910188702588,6.025120262692245
2026-10-06,0.06575342465753424,24050.0,call,79.7,11960,23398.1,1.027861236596134,0.11337740975500772,0.2098989953903066,0.00042343724777965,1728.2045799874725,-1754.8931221041637,317.69015775030397
2026-10-13,0.08493150684931507,24300.0,call,64.65,4290,23398.1,1.038545864835179,0.11315646823464696,0.161253207936819,0.0003168498428919417,1667.1047736498392,-1313.8774424069231,314.957360612853
2026-10-27,0.1232876712328767,23500.0,call,417.55,709345,23398.1,1.0043550544702349,0.11882302150155129,0.5309198984480047,0.0004068839251060673,3263.262113902469,-2228.6420457251347,1480.064422018304
2026-10-27,0.1232876712328767,24250.0,call,122.65,24440,23398.1,1.0364089391873699,0.11104060943785195,0.23429976297487154,0.0003361137611762077,2519.1206342978385,-1427.986069825297,660.7626262332831
2026-09-15,0.00821917808219178,24050.0,call,2.8,2623140,23398.1,1.027861236596134,0.14973794470043617,0.023614524398534523,0.00017539752900446408,118.18025268595011,-1106.7182353478897,4.518369666726784
2026-09-15,0.00821917808219178,24600.0,call,0.95,3080610,23398.1,1.051367418722033,0.21889978135003774,0.006361647417949209,3.856498832928965e-05,37.98639743885414,-513.9672162367306,1.21562025265511
2026-09-15,0.00821917808219178,24650.0,call,0.85,1087580,23398.1,1.053504344369842,0.22397258051224836,0.00562982998872303,3.3821356080309736e-05,34.08595343401998,-471.6108224625362,1.075704058756024
2026-09-15,0.00821917808219178,24900.0,call,0.65,991640,23398.1,1.0641889726088871,0.255048045368913,0.003912961211805114,2.1470022604137847e-05,24.64019139801934,-387.2963083484416,0.7471714014220604
